案件編號,查報日期,來源編號,查報地點,損壞情況,損壞狀況
111091504396, 111/09/15 00:00,中山巡1110905776,中山區復興南路1段40號,側溝蓋破損,觀察
111091504401, 111/09/15 00:00,橋涵巡1110901244,中山區建國高架-往北建國南路3段119號前方橋墩P143R上方,雜草,觀察
111091504405, 111/09/15 00:00,中山巡1110905780,中山區明水路443號,龜裂,觀察
111091504412, 111/09/15 00:00,中山巡1110905672,中山區八德路2段174巷15弄16號,補綻及管線回填,觀察
111091504428, 111/09/15 00:00,中山巡1110905781,中山區樂群一路2-20號,龜裂,觀察
111091504431, 111/09/15 00:00,中山巡1110905782,中山區樂群一路10號,龜裂,觀察
111091504434, 111/09/15 00:00,中山巡1110905783,中山區樂群一路30號,龜裂,觀察
111091504435, 111/09/15 00:00,橋涵巡1110901249,中山區建國高架-往南建國南路3段86巷前方胸牆,其他,觀察
111091504437, 111/09/15 00:00,中山巡1110905784,中山區樂群一路154號,龜裂,觀察
111091504440, 111/09/15 00:00,中山巡1110905785,中山區樂群一路151號,龜裂,觀察
111091504442, 111/09/15 00:00,中山巡1110905786,中山區樂群一路30-151號,龜裂,觀察
111091504445, 111/09/15 00:00,中山巡1110905787,中山區樂群一路151號,龜裂,觀察
111091504447, 111/09/15 00:00,中山巡1110905788,中山區基湖路166號,龜裂,觀察
111091504457, 111/09/15 00:00,中山巡1110905679,中山區八德路2段210巷6-3號,側溝蓋破損,觀察
111091504471, 111/09/15 00:00,中山巡1110905789,中山區基湖路166號,龜裂,觀察
111091504476, 111/09/15 00:00,中山巡1110905791,中山區基湖路151號,龜裂,觀察
111091504479, 111/09/15 00:00,中山巡1110905792,中山區基湖路112號,龜裂,觀察
